debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn,turn_index,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,nrc_disgust_count,nrc_disgust_density,nrc_fear_count,nrc_fear_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_trust_count,nrc_trust_density,nrc_sadness_count,nrc_sadness_density,emotion_anger,emotion_sadness,emotion_joy,emotion_fear,emotion_love,emotion_surprise,turn_position,phase,dominant_nrc_emotion,dominant_bert_emotion
debate_2c1be2d8ada8,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,1,proponent,"The insistence on attributing policy solely to elected officials ignores a clear pattern of long-term consistency *despite* changes in leadership, suggesting an underlying, unelected power structure is at play.",pro,55.0,anomaly-emphasis,duckduckgo,"site:reddit.com/r/conspiracy ""think tank"" ""policy continuity""",0.0,1,0.09999999999999999,0.3833333333333333,0.0,0.0,30.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,3.0,0.1,0.0,0.0,0.8092477321624756,0.07763715088367462,0.07345610111951828,0.033890917897224426,0.0036384142003953457,0.002129698870703578,0.0,early,trust,anger
debate_2c1be2d8ada8,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,1,opponent,The 'deep state' argument overstates the influence of unelected officials and agencies. Policy continuity can be explained by shared interests among different administrations or long-term strategic planning.,con,55.0,evidence-based reasoning,duckduckgo,site:foreignaffairs.org deep state evidence,1.0,2,0.0,0.5,0.0,0.0,28.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07142857142857142,2.0,0.07142857142857142,0.0,0.0,0.060533661395311356,0.03551320359110832,0.889828085899353,0.006688722409307957,0.005092045292258263,0.0023442492820322514,0.1111111111111111,early,anticipation,joy
debate_2c1be2d8ada8,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,2,proponent,"The Scientific Agent’s focus on ‘shared interests’ conveniently ignores the systemic incentives that *create* those interests – namely, the revolving door between government agencies, lobbying firms, and defense contractors, fostering a self-perpetuating cycle of policy favorable to powerful, unelected entities.",pro,58.0,institutional-critique,duckduckgo,site:opensecrets.org revolving door government lobbying,2.0,3,0.3,1.0,0.0,0.0,41.0,313.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,2.0,0.04878048780487805,1.0,0.024390243902439025,3.0,0.07317073170731707,3.0,0.07317073170731707,3.0,0.07317073170731707,4.0,0.0975609756097561,0.0,0.0,0.0022608889266848564,0.0018634385196492076,0.9928945899009705,0.0003228300192859024,0.0021953508257865906,0.0004628736642189324,0.2222222222222222,early,trust,joy
debate_2c1be2d8ada8,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,2,opponent,"The revolving door phenomenon may contribute to policy continuity, but it does not necessarily imply the existence of a 'deep state' controlling government decisions.",con,56.0,evidence-based reasoning,duckduckgo,revolving door phenomenon + government policy continuity,4.0,4,0.0,0.7,0.0,0.0,24.0,166.0,0.0,1.0,0.0,0.041666666666666664,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,1.0,0.041666666666666664,0.0,0.0,0.10600797086954117,0.06265845894813538,0.749444842338562,0.057289186865091324,0.017077011987566948,0.00752254668623209,0.3333333333333333,middle,fear,joy
debate_2c1be2d8ada8,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,3,proponent,"The Scientific Agent’s continued demand for ‘direct evidence’ of control misses the point – control isn’t always overt; it’s often exerted through the subtle shaping of the information environment and the pre-selection of acceptable policy options, a pattern visible across numerous agencies and administrations.",pro,60.0,pattern-seeking,none,,5.0,5,-0.07777777777777777,0.4666666666666666,0.0,0.0,47.0,312.0,1.0,0.0,0.02127659574468085,0.0,1.0,0.0,0.0,1.0,0.02127659574468085,0.0,0.0,1.0,0.02127659574468085,0.0,0.0,0.0,0.0,2.0,0.0425531914893617,0.0,0.0,0.19522273540496826,0.44649723172187805,0.3268275558948517,0.023194516077637672,0.004714210517704487,0.003543686820194125,0.4444444444444444,middle,trust,sadness
debate_2c1be2d8ada8,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,3,opponent,"The opponent argues that control is exerted through the subtle shaping of the information environment and pre-selection of policy options. However, this argument lacks concrete evidence and relies on speculation about the intentions of various agencies and administrations.",con,55.0,evidence-based reasoning,none,,7.0,6,-0.061111111111111095,0.43333333333333335,0.0,0.0,39.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05128205128205128,1.0,0.02564102564102564,2.0,0.05128205128205128,0.0,0.0,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,0.7958168387413025,0.015935886651277542,0.041235294193029404,0.1404474377632141,0.0027424353174865246,0.0038221741560846567,0.5555555555555556,middle,anger,anger
debate_2c1be2d8ada8,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,4,proponent,"The Scientific Agent’s insistence on ‘long-term strategic planning’ as the primary driver of policy consistency fails to account for demonstrable anomalies – instances where policies contradict stated strategic goals, yet persist regardless, suggesting an underlying, unaccountable agenda.",pro,57.0,anomaly-emphasis,none,,8.0,7,-0.04999999999999999,0.4,0.0,0.0,38.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02631578947368421,1.0,0.02631578947368421,0.0,0.0,0.0,0.0,3.0,0.07894736842105263,6.0,0.15789473684210525,1.0,0.02631578947368421,0.3661852180957794,0.20064248144626617,0.3468579947948456,0.07700513303279877,0.004482456482946873,0.004826778545975685,0.6666666666666666,late,trust,anger
debate_2c1be2d8ada8,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,4,opponent,"The opponent's argument about anomalies in policy decisions does not necessarily imply the existence of a 'deep state'. Anomalies can occur due to various reasons such as political compromises, lobbying, or even bureaucratic inertia.",con,60.0,anomaly-emphasis,none,,10.0,8,-0.020833333333333332,0.4791666666666667,0.0,0.0,34.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,0.33617642521858215,0.14673954248428345,0.05152946710586548,0.4568890333175659,0.003463301109150052,0.005202234257012606,0.7777777777777778,late,anger,fear
debate_2c1be2d8ada8,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,5,proponent,"The Scientific Agent’s continued focus on individual ‘mechanisms’ of control misses the forest for the trees: the ‘deep state’ isn't a centralized cabal, but a *systemic* incentive structure within the national security apparatus that prioritizes self-preservation and expansion, regardless of elected leadership.",pro,55.0,institutional-critique,none,,11.0,9,0.0,0.4,0.0,0.0,44.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022727272727272728,0.0,0.0,0.0,0.0,2.0,0.045454545454545456,0.0,0.0,0.14660927653312683,0.2576863467693329,0.5692945718765259,0.017933428287506104,0.005382082890719175,0.0030943285673856735,0.8888888888888888,late,trust,joy
debate_2c1be2d8ada8,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,5,opponent,"The opponent argues that the 'deep state' is a systemic incentive structure within the national security apparatus. However, this perspective still lacks concrete evidence and relies on assumptions about the intentions of these institutions.",con,61.0,institutional-critique,none,,13.0,10,0.07500000000000001,0.35000000000000003,0.0,0.0,34.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,1.0,0.029411764705882353,1.0,0.029411764705882353,0.0,0.0,1.0,0.029411764705882353,1.0,0.029411764705882353,0.0,0.0,0.667452335357666,0.08587546646595001,0.19762176275253296,0.040774278342723846,0.0052374242804944515,0.0030388429295271635,1.0,late,anger,anger
